"rank","name","pop2020","pop2010","change","density"
"311","Boone","370","339","0.0914","377.1762"
"312","Coal Creek","354","343","0.0321","114.4820"
"313","South Fork","349","379","-0.0792","53.9404"
"314","Alma","332","275","0.2073","295.5998"
"315","Dinosaur","331","339","-0.0236","157.6236"
"316","Empire","319","282","0.1312","458.6945"
"318","Olney Springs","317","348","-0.0891","508.7507"
"317","City of Creede","317","286","0.1084","128.8728"
"320","North La Junta","313","512","-0.3887","88.8568"
"319","Arboles","313","280","0.1179","23.4415"
"321","Louviers","307","269","0.1413","75.0013"
"322","Comanche Creek","295","369","-0.2005","5.2507"
"324","Ovid","292","317","-0.0789","724.0142"
"323","Idledale","292","252","0.1587","407.0435"
"326","Peyton","281","250","0.1240","47.2256"
"325","Merino","281","284","-0.0106","715.5990"
"327","El Moro","275","221","0.2443","9.5737"
"328","Brookside","274","235","0.1660","223.2270"
"329","Vineland","273","251","0.0876","186.0915"
"331","Red Cliff","269","268","0.0037","442.4058"
"330","Garden City","269","251","0.0717","919.9349"
"332","Morgan Heights","267","266","0.0038","361.2981"
"333","Catherine","264","228","0.1579","118.7478"
"334","Jamestown","262","274","-0.0438","162.3135"
"335","Iliff","259","266","-0.0263","523.5168"
"336","Eckley","258","257","0.0039","210.6810"
"337","Cheraw","256","254","0.0079","548.0778"
"338","Hillrose","254","253","0.0040","520.1315"
"339","Jansen","249","112","1.2232","81.9389"
"340","Redvale","241","236","0.0212","19.8835"
"341","Kit Carson","240","233","0.0300","158.6504"
"342","Sugar City","238","260","-0.0846","238.7631"
"343","Bethune","233","237","-0.0169","555.2537"
"344","Peetz","232","238","-0.0252","401.0607"
"345","Rico","228","266","-0.1429","129.7969"
"346","Capulin","227","200","0.1350","92.5488"
"347","Phippsburg","225","0","Infinity","73.2434"
"348","Sunshine","223","230","-0.0304","49.7651"
"349","Peoria","221","163","0.3558","6.1991"
"350","Rollinsville","218","181","0.2044","59.5995"
"351","Bonanza Mountain Estates","214","128","0.6719","490.9282"
"352","Seibert","212","181","0.1713","238.7503"
"353","Larkspur","211","184","0.1467","51.2157"
"354","Arriba","202","193","0.0466","156.3177"
"355","Amherst","195","0","Infinity","166.0239"
"356","Elbert","193","230","-0.1609","157.2583"
"358","Twin Lakes","185","171","0.0819","10.6057"
"357","Ophir","185","161","0.1491","303.9084"
"359","East Pleasant View","184","356","-0.4831","640.6440"
"360","Woody Creek","182","263","-0.3080","114.7078"
"361","Silver Plume","180","170","0.0588","268.7815"
"363","Westcreek","179","129","0.3876","56.7281"
"362","Tall Timber","179","208","-0.1394","120.4074"
"364","Jackson Lake","175","154","0.1364","22.0837"
"365","Rye","168","153","0.0980","689.8732"
"366","Seven Hills","167","121","0.3802","131.8834"
"367","Ward","164","150","0.0933","110.4838"
"368","Crowley","161","178","-0.0955","275.6741"
"369","Maysville","157","135","0.1630","4.8807"
"370","Grover","155","140","0.1071","100.5071"
"371","Crestone","154","129","0.1938","154.5733"
"372","Marble","152","131","0.1603","163.1369"
"374","Trail Side","148","0","Infinity","79.7440"
"373","Florissant","148","104","0.4231","110.8133"
"376","Snyder","147","132","0.1136","160.2716"
"375","Genoa","147","139","0.0576","182.9455"
"377","Weldona","146","139","0.0504","359.7069"
"378","Segundo","143","0","Infinity","79.5620"
"379","Brick Center","142","107","0.3271","9.4896"
"381","Glendale","138","0","Infinity","42.4485"
"380","Bark Ranch","138","213","-0.3521","61.8166"
"382","Southern Ute","137","177","-0.2260","3.3144"
"383","Pritchett","134","141","-0.0496","222.0028"
"384","Ramah","131","124","0.0565","205.5444"
"385","Sedgwick","130","145","-0.1034","144.3070"
"386","Black Hawk","129","118","0.0932","18.7754"
"387","Crisman","128","186","-0.3118","33.9127"
"388","Moffat","126","116","0.0862","33.6598"
"389","Gold Hill","124","230","-0.4609","23.0762"
"390","Cokedale","123","128","-0.0391","231.7388"
"391","Lewis","121","302","-0.5993","15.0191"
"393","Hasty","118","144","-0.1806","129.3543"
"392","Gerrard","118","278","-0.5755","38.0304"
"394","Raymer New Raymer","116","98","0.1837","57.1085"
"395","Orchard","115","0","Infinity","277.8053"
"396","Sedalia","113","206","-0.4515","32.0006"
"397","Rock Creek Park","111","0","Infinity","161.3665"
"398","Vilas","109","115","-0.0522","329.1987"
"399","Crook","108","110","-0.0182","309.4698"
"400","Franktown","107","395","-0.7291","14.0332"
"401","Campo","105","110","-0.0455","280.9801"
"402","Vona","104","106","-0.0189","181.4227"
"403","Hooper","101","103","-0.0194","154.7343"
"404","Mountain Meadows","98","274","-0.6423","21.9639"
"405","Padroni","97","0","Infinity","46.1672"
"406","Hoehne","96","111","-0.1351","11.9318"
"407","San Acacio","91","0","Infinity","27.9565"
"408","La Junta Gardens","90","153","-0.4118","65.1508"
"410","Portland","88","135","-0.3481","10.6115"
"409","Kirk","88","0","Infinity","8.2848"
"411","Divide","87","127","-0.3150","100.0879"
"413","Sheridan Lake","84","83","0.0120","104.4412"
"412","Saddle Ridge","84","0","Infinity","186.4392"
"414","Atwood","83","133","-0.3759","30.9933"
"415","Hartman","77","76","0.0132","108.3274"
"416","Pitkin","76","66","0.1515","113.7587"
"417","Redstone","72","130","-0.4462","63.4921"
"419","Kim","71","74","-0.0405","72.3805"
"418","Branson","71","74","-0.0405","111.9865"
"420","Haswell","69","68","0.0147","33.1962"
"421","Montezuma","68","63","0.0794","327.4804"
"422","Joes","63","0","Infinity","11.6643"
"423","Lynn","57","0","Infinity","30.6958"
"424","Starkville","55","59","-0.0678","290.9853"
"425","Colona","54","0","Infinity","344.2802"
"426","No Name","53","123","-0.5691","114.4993"
"428","Smeltertown","52","120","-0.5667","137.5174"
"427","Laird","52","0","Infinity","133.6678"
"429","Parshall","51","0","Infinity","65.8610"
"430","Valmont","48","0","Infinity","68.7200"
"431","Conejos","47","0","Infinity","37.4795"
"432","McCoy","41","0","Infinity","53.8429"
"434","Two Buttes","40","43","-0.0698","62.2868"
"433","Stonewall Gap","40","0","Infinity","8.0424"
"437","Sawpit","39","34","0.1471","501.3369"
"436","Goldfield","39","0","Infinity","106.9009"
"435","Eldora","39","142","-0.7254","3.6234"
"438","Idalia","37","0","Infinity","168.2101"
"440","Piedra","35","0","Infinity","1.1629"
"439","Paoli","35","34","0.0294","45.6740"
"441","Maybell","34","0","Infinity","25.3293"
"442","Brandon","25","0","Infinity","82.1582"
"443","Weston","23","0","Infinity","2.8657"
"444","Bonanza","21","16","0.3125","18.5422"
"445","Cathedral","19","0","Infinity","0.3447"
"446","Towner","18","0","Infinity","186.4879"
"447","Blue Sky","15","0","Infinity","161.8001"
"448","Valdez","14","0","Infinity","3.3607"
"449","Guffey","9","0","Infinity","0.4006"
"450","Lakeside","8","8","0","16.4621"
"451","Garfield","6","0","Infinity","6.7958"
"458","Wolcott","0","0","NaN","0"
"457","Vernon","0","0","NaN","0"
"456","Norrie","0","0","NaN","0"
"455","Leyner","0","0","NaN","0"
"454","Hidden Lake","0","0","NaN","0"
"453","Fulford","0","0","NaN","0"
"452","Cotopaxi","0","0","NaN","0"
